,rerun,group_dim,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,mean_ref_ism_gsm_corr,stdev_rep_ism_gsm_corr,stdev_ref_ism_gsm_corr
0,1.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,2.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,3.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,4.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,5.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,6.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,7.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,8.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,9.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,10.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,11.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,12.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,13.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,14.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
0,15.0,100,1,0.5116708235981472,0.5189630996983691,0.01378170394029736,0.013086676751296747,0.008504370715909936,0.012242757445360766
