,rerun1,rerun2,bootstrap,KMeans_Spectral_GSMCorr,Ward_KMeans_GSMCorr,Spectral_Ward_GSMCorr,KMeans_Spectral_RandIdx,Ward_KMeans_RandIdx,Spectral_Ward_RandIdx
0,3,11,200,0.538875678,0.646054323,0.368549451,0.314662046,0.511620552,0.256624686
0,3,12,200,0.514588377,0.620512576,0.343736247,0.314322798,0.473490676,0.226327562
0,3,13,200,0.510112713,0.624311334,0.346436354,0.314906455,0.477728702,0.249084861
0,4,1,200,0.426543447,0.643331608,0.354583248,0.293950664,0.51954725,0.229626257
0,4,2,200,0.440043179,0.627728238,0.338864405,0.29685087,0.510966881,0.219968072
0,4,3,200,0.463746175,0.662699376,0.349796609,0.321758041,0.544045426,0.237218398
0,4,4,200,0.445113469,0.623834029,0.350462562,0.302433242,0.506431168,0.214338368
0,4,5,200,0.449494725,0.641778745,0.358786128,0.306734085,0.485656166,0.231370979
0,4,6,200,0.454088324,0.636102034,0.34169362,0.318208969,0.466172902,0.214037424
0,4,7,200,0.444498819,0.648896345,0.310094613,0.30624923,0.521510623,0.215223464
0,4,8,200,0.444943377,0.61345964,0.320549944,0.309887743,0.499811854,0.213931617
0,4,9,200,0.437873168,0.636622146,0.361776163,0.307836987,0.491408356,0.205844527
0,4,10,200,0.438118062,0.611200305,0.3654521,0.304497548,0.492086699,0.215893078
0,4,11,200,0.477388587,0.651545313,0.353823602,0.31153748,0.532422491,0.23489975
0,4,12,200,0.452576063,0.632457566,0.331553839,0.312294281,0.515501195,0.208816053
0,4,13,200,0.448418611,0.638109643,0.334901769,0.311013941,0.523020092,0.233378756
0,5,1,200,0.4550641,0.619042435,0.357207481,0.310387302,0.493239956,0.235994731
0,5,2,200,0.470545587,0.607888352,0.341551069,0.312895005,0.486439662,0.2249539
0,5,3,200,0.489163208,0.639785606,0.352416461,0.333271858,0.511321436,0.24170599
0,5,4,200,0.474933963,0.60532617,0.352785189,0.314666087,0.477166477,0.218453267
0,5,5,200,0.479017012,0.62227428,0.362271186,0.323230684,0.469587731,0.241379695
0,5,6,200,0.484291087,0.615428144,0.344504281,0.335850919,0.447047793,0.219143782
0,5,7,200,0.471744865,0.62871279,0.31333955,0.316595844,0.488111759,0.22008806
0,5,8,200,0.473028289,0.597952864,0.322587558,0.320969724,0.474584651,0.220155988
0,5,9,200,0.467087842,0.616792235,0.361956881,0.320283444,0.471342125,0.211895022
0,5,10,200,0.46514193,0.59467014,0.367704549,0.314348038,0.469096806,0.221275416
0,5,11,200,0.506151061,0.624162801,0.356196268,0.327540619,0.498046998,0.243242931
0,5,12,200,0.481140607,0.614597405,0.33349307,0.32527963,0.489595145,0.216580819
0,5,13,200,0.477380666,0.616940939,0.336978951,0.324789894,0.492932162,0.235402959
0,6,1,200,0.457338939,0.663940847,0.360603226,0.302993933,0.540466519,0.242323803
0,6,2,200,0.472846229,0.643278621,0.344268987,0.305091962,0.513012649,0.23026203
0,6,3,200,0.492803706,0.68142287,0.354322874,0.324617874,0.548470117,0.247292698
0,6,4,200,0.476216371,0.642485478,0.356536636,0.305700533,0.518529297,0.223964
0,6,5,200,0.481393556,0.6616229,0.367886323,0.31569714,0.499310227,0.247274997
0,6,6,200,0.486820916,0.652639433,0.34669904,0.32757526,0.484920471,0.224919958
0,6,7,200,0.474065827,0.666649328,0.312363361,0.311739075,0.527905973,0.224578382
0,6,8,200,0.475059375,0.63370131,0.324557616,0.313660802,0.516359493,0.226172715
0,6,9,200,0.469784243,0.654056753,0.365758813,0.311490235,0.506404329,0.215682895
0,6,10,200,0.467406876,0.626900776,0.373814441,0.30902417,0.502474553,0.227030204
0,6,11,200,0.509852933,0.668253469,0.360622537,0.317488996,0.54131931,0.251390801
0,6,12,200,0.484176736,0.651985183,0.335466563,0.317180217,0.5279655,0.220648838
0,6,13,200,0.47951906,0.656100189,0.337437471,0.314531169,0.531802641,0.243309132
0,7,1,200,0.458688961,0.613466619,0.345016325,0.303953563,0.50216384,0.224393009
0,7,2,200,0.473616424,0.596727073,0.330895694,0.306017456,0.493917753,0.216607214
0,7,3,200,0.496473106,0.636711006,0.339749299,0.329340037,0.522801003,0.231150433
0,7,4,200,0.478191654,0.591279379,0.341617734,0.311735765,0.487690327,0.211602914
