,rerun,group_dim,bootstrap,subject,ism_repref_corr,sub_rep_ism_gsm_corr,sub_ref_ism_gsm_corr
0,1.0,100,200,20,0.5974360377499459,0.6542968919979287,0.5198447503861566
0,1.0,100,200,19,0.5764019905971041,0.7126542768644353,0.7341271852333724
0,1.0,100,200,9,0.4651891158673242,0.6419401785953047,0.5058904889455101
0,1.0,100,200,14,0.5394899202450858,0.5836822285531408,0.5119193850884628
0,1.0,100,200,21,0.5190626453734688,0.7009778208770329,0.6253100387741948
0,1.0,100,200,8,0.5794354972255114,0.541145622750922,0.49580003166859854
0,1.0,100,200,4,0.5547469820427385,0.6909080581435024,0.7803471018945503
0,1.0,100,200,11,0.5526424836708657,0.6403636166612184,0.6653127587489406
0,1.0,100,200,6,0.5090096463302063,0.5909266254277487,0.5191504608888161
0,1.0,100,200,7,0.6054187214407312,0.547415214526047,0.4796278658272439
0,1.0,100,200,23,0.535922444450631,0.6084860750308523,0.6334163306663393
0,1.0,100,200,0,0.5819245217599968,0.6993172065884671,0.5198034317929469
0,1.0,100,200,10,0.5882315206631288,0.5194580358893588,0.6294190871633324
0,1.0,100,200,16,0.4845374235393272,0.5840122233278763,0.5956281951816507
0,1.0,100,200,12,0.5212548941865356,0.5612201599467455,0.686808911140725
0,1.0,100,200,2,0.4946455092207169,0.6323102731854299,0.4353409668249342
0,1.0,100,200,13,0.40865799452338414,0.4333263288905369,0.6038351697573711
0,1.0,100,200,5,0.54795825023435,0.5486137884647014,0.48814774653128257
0,1.0,100,200,1,0.5141012161971233,0.5775866332469358,0.569370815905243
0,1.0,100,200,22,0.5362784995178115,0.7530059620459439,0.557644314823737
0,1.0,100,200,15,0.40586962337890103,0.483846752547622,0.4066304731652781
0,1.0,100,200,18,0.5547782890890974,0.6808081526386112,0.692438340456677
0,1.0,100,200,17,0.4693476103258089,0.4362449516492275,0.5297197834582151
0,1.0,100,200,3,0.508099688228538,0.6889177435477406,0.592575449222221
0,2.0,100,200,20,0.5888959878238154,0.6892586769301576,0.5198447503861566
0,2.0,100,200,19,0.5740246904503516,0.7529431351481575,0.7341271852333724
0,2.0,100,200,9,0.4645432833401388,0.6614451074613203,0.5058904889455101
0,2.0,100,200,14,0.5388519109195993,0.6076882981336128,0.5119193850884628
0,2.0,100,200,21,0.5252459654974434,0.7175830415260055,0.6253100387741948
0,2.0,100,200,8,0.5773922640625134,0.5681378395978754,0.49580003166859854
0,2.0,100,200,4,0.5479526603568141,0.7396403423056718,0.7803471018945503
0,2.0,100,200,11,0.5513641764378477,0.6857178325818851,0.6653127587489406
0,2.0,100,200,6,0.506983614088571,0.6027559444867112,0.5191504608888161
0,2.0,100,200,7,0.604213508026136,0.5861203012296768,0.4796278658272439
0,2.0,100,200,23,0.5386644599786109,0.6470957143757133,0.6334163306663393
0,2.0,100,200,0,0.5777826503748025,0.7108625403796014,0.5198034317929469
0,2.0,100,200,10,0.5830656110213108,0.5520510542578857,0.6294190871633324
0,2.0,100,200,16,0.4811143015439066,0.6162721467396067,0.5956281951816507
0,2.0,100,200,12,0.5162753902080467,0.6190767601943165,0.686808911140725
0,2.0,100,200,2,0.49708510434436226,0.6835798301673872,0.4353409668249342
0,2.0,100,200,13,0.4101011910141554,0.4692364027450996,0.6038351697573711
0,2.0,100,200,5,0.5524207500486235,0.6005783292036055,0.48814774653128257
0,2.0,100,200,1,0.5098800011353051,0.5895857434200905,0.569370815905243
0,2.0,100,200,22,0.5327059049471107,0.7460440738251735,0.557644314823737
0,2.0,100,200,15,0.40723667850452694,0.4979187970742024,0.4066304731652781
0,2.0,100,200,18,0.5519856053756248,0.7315855660774023,0.692438340456677
0,2.0,100,200,17,0.46609086436067193,0.45825222123823206,0.5297197834582151
0,2.0,100,200,3,0.5011528462808955,0.7356512441119979,0.592575449222221
0,3.0,100,200,20,0.6094749061921445,0.6481351022024227,0.5198447503861566
0,3.0,100,200,19,0.5851303190277783,0.7349382557507238,0.7341271852333724
0,3.0,100,200,9,0.45887870005870696,0.641778076799137,0.5058904889455101
0,3.0,100,200,14,0.5209178827946306,0.58878564810062,0.5119193850884628
0,3.0,100,200,21,0.5173159937486693,0.6529108201184272,0.6253100387741948
0,3.0,100,200,8,0.564142954433138,0.5882373588118092,0.49580003166859854
0,3.0,100,200,4,0.5746172473976731,0.711028529197142,0.7803471018945503
0,3.0,100,200,11,0.5559490137746534,0.647063379492436,0.6653127587489406
0,3.0,100,200,6,0.5237757499178262,0.5555611608238912,0.5191504608888161
0,3.0,100,200,7,0.5980369618871164,0.5123103483763837,0.4796278658272439
0,3.0,100,200,23,0.5453166835962476,0.6165415766828357,0.6334163306663393
0,3.0,100,200,0,0.5805166108105351,0.7274110828631277,0.5198034317929469
0,3.0,100,200,10,0.5854608104547339,0.510001933512632,0.6294190871633324
0,3.0,100,200,16,0.4916261475607393,0.612021764548891,0.5956281951816507
0,3.0,100,200,12,0.5115897384660646,0.5931875534463759,0.686808911140725
0,3.0,100,200,2,0.4932865831442811,0.6637478023780953,0.4353409668249342
0,3.0,100,200,13,0.41120761000557643,0.43627325017055063,0.6038351697573711
0,3.0,100,200,5,0.5268889358845783,0.5548858004458613,0.48814774653128257
0,3.0,100,200,1,0.5186297915996531,0.5489136250890182,0.569370815905243
0,3.0,100,200,22,0.5474814146582184,0.7125059650454783,0.557644314823737
0,3.0,100,200,15,0.3921388960138542,0.4742582031265363,0.4066304731652781
0,3.0,100,200,18,0.5573347933111497,0.683274278989599,0.692438340456677
0,3.0,100,200,17,0.47628476160453426,0.42689310634428446,0.5297197834582151
0,3.0,100,200,3,0.5082715877433073,0.6808111432921895,0.592575449222221
0,4.0,100,200,20,0.6126050582687508,0.6312401661442066,0.5198447503861566
0,4.0,100,200,19,0.5849149977134234,0.7490002419894491,0.7341271852333724
0,4.0,100,200,9,0.465189916095348,0.6412616947644779,0.5058904889455101
0,4.0,100,200,14,0.5218243909040108,0.5654157718054206,0.5119193850884628
0,4.0,100,200,21,0.5137487939366405,0.6803226164124953,0.6253100387741948
0,4.0,100,200,8,0.5619688095731642,0.5921594864962103,0.49580003166859854
0,4.0,100,200,4,0.571122051216699,0.7348171763712138,0.7803471018945503
0,4.0,100,200,11,0.5579759734096206,0.6466992812984885,0.6653127587489406
0,4.0,100,200,6,0.5232475962968813,0.5528018075452902,0.5191504608888161
0,4.0,100,200,7,0.5961956700855665,0.5477810012906017,0.4796278658272439
0,4.0,100,200,23,0.54741589601758,0.654128054253495,0.6334163306663393
0,4.0,100,200,0,0.5784592227569261,0.7015585855629928,0.5198034317929469
0,4.0,100,200,10,0.5828805122484046,0.5242149043043363,0.6294190871633324
0,4.0,100,200,16,0.48835510337515203,0.6011095934477004,0.5956281951816507
0,4.0,100,200,12,0.5125985524181145,0.6179452231237521,0.686808911140725
0,4.0,100,200,2,0.4890883302206402,0.6845273340099348,0.4353409668249342
0,4.0,100,200,13,0.3992682622268479,0.4344908042945379,0.6038351697573711
0,4.0,100,200,5,0.526543959876286,0.5659753873858125,0.48814774653128257
0,4.0,100,200,1,0.5207335896412952,0.5371945441756453,0.569370815905243
0,4.0,100,200,22,0.5446543736866218,0.7156658127494594,0.557644314823737
0,4.0,100,200,15,0.3934864163395149,0.4809281787480857,0.4066304731652781
0,4.0,100,200,18,0.5598838979011198,0.6778008750101209,0.692438340456677
0,4.0,100,200,17,0.47269101187357676,0.435297404422041,0.5297197834582151
0,4.0,100,200,3,0.5094017127996114,0.7335623940655833,0.592575449222221
0,5.0,100,200,20,0.599799258525887,0.6768005662017823,0.5198447503861566
0,5.0,100,200,19,0.5770835835029915,0.7248628970312634,0.7341271852333724
0,5.0,100,200,9,0.4635893319511037,0.6647747449158171,0.5058904889455101
0,5.0,100,200,14,0.5409179441426496,0.6192980415751773,0.5119193850884628
0,5.0,100,200,21,0.5175052312658358,0.7122732716655084,0.6253100387741948
0,5.0,100,200,8,0.5774627372860601,0.5554734514116165,0.49580003166859854
0,5.0,100,200,4,0.5615699803733905,0.7383730319716617,0.7803471018945503
0,5.0,100,200,11,0.5533618212689894,0.6575485501992431,0.6653127587489406
0,5.0,100,200,6,0.508405328131199,0.6166764038098571,0.5191504608888161
0,5.0,100,200,7,0.6062883548406315,0.5821315412173783,0.4796278658272439
0,5.0,100,200,23,0.5383397643502635,0.672700717253178,0.6334163306663393
0,5.0,100,200,0,0.5798902550294551,0.7388762762521031,0.5198034317929469
0,5.0,100,200,10,0.5893334887256374,0.5523620373941897,0.6294190871633324
0,5.0,100,200,16,0.48526888636022125,0.615230888919605,0.5956281951816507
0,5.0,100,200,12,0.5214938690449035,0.6102696754179942,0.686808911140725
0,5.0,100,200,2,0.4938891638801419,0.670788190368486,0.4353409668249342
0,5.0,100,200,13,0.40326229606934905,0.47030274285146967,0.6038351697573711
0,5.0,100,200,5,0.5462686345302127,0.5717748576907237,0.48814774653128257
0,5.0,100,200,1,0.5151976334317935,0.6082468391717377,0.569370815905243
0,5.0,100,200,22,0.5351933784663502,0.7423474422340917,0.557644314823737
0,5.0,100,200,15,0.4021483637957201,0.501042691195501,0.4066304731652781
0,5.0,100,200,18,0.5524563679331654,0.7028355866021722,0.692438340456677
0,5.0,100,200,17,0.46910054185469197,0.4740061260545949,0.5297197834582151
0,5.0,100,200,3,0.507156349416987,0.718327607289057,0.592575449222221
0,6.0,100,200,20,0.611328443624952,0.6366154738837261,0.5198447503861566
0,6.0,100,200,19,0.5828278856156569,0.74718056249925,0.7341271852333724
0,6.0,100,200,9,0.4649178362850367,0.6517974850639623,0.5058904889455101
0,6.0,100,200,14,0.5220307124998508,0.5903449715615595,0.5119193850884628
0,6.0,100,200,21,0.5127702398371057,0.7025322129927914,0.6253100387741948
0,6.0,100,200,8,0.5633528772857005,0.6070738864256139,0.49580003166859854
0,6.0,100,200,4,0.5639814513609245,0.72718166223624,0.7803471018945503
0,6.0,100,200,11,0.5554071212925747,0.6672917804178734,0.6653127587489406
0,6.0,100,200,6,0.5229848805433935,0.5993509896363604,0.5191504608888161
0,6.0,100,200,7,0.5929215645351873,0.5456994284504435,0.4796278658272439
0,6.0,100,200,23,0.5484292598669426,0.6478393320083168,0.6334163306663393
0,6.0,100,200,0,0.578028005701266,0.7256778909520282,0.5198034317929469
0,6.0,100,200,10,0.5793147244956792,0.5308281374022451,0.6294190871633324
0,6.0,100,200,16,0.48692286513551525,0.6079172955637706,0.5956281951816507
0,6.0,100,200,12,0.5168511242199142,0.5887305547480555,0.686808911140725
0,6.0,100,200,2,0.48495245704666756,0.674942379022998,0.4353409668249342
0,6.0,100,200,13,0.4013539598933518,0.45854408427201965,0.6038351697573711
0,6.0,100,200,5,0.5197615318235905,0.5551141800000763,0.48814774653128257
0,6.0,100,200,1,0.5217355315303411,0.5707482590727677,0.569370815905243
0,6.0,100,200,22,0.5448925460965715,0.7549574798125265,0.557644314823737
0,6.0,100,200,15,0.3920350853650575,0.5078208260220526,0.4066304731652781
0,6.0,100,200,18,0.5599102482218543,0.6802698196822982,0.692438340456677
0,6.0,100,200,17,0.47238154090758916,0.46579395849262695,0.5297197834582151
0,6.0,100,200,3,0.5086199317935937,0.7070262290154377,0.592575449222221
0,7.0,100,200,20,0.5898765097223131,0.6453831575091884,0.5198447503861566
0,7.0,100,200,19,0.574919506362085,0.7300624043896741,0.7341271852333724
0,7.0,100,200,9,0.4687142908047045,0.6204845557294857,0.5058904889455101
0,7.0,100,200,14,0.5379396248721312,0.5435395925423592,0.5119193850884628
0,7.0,100,200,21,0.5229272878971273,0.6905285229902819,0.6253100387741948
0,7.0,100,200,8,0.5752856751633634,0.5396520727875301,0.49580003166859854
0,7.0,100,200,4,0.5510289929536307,0.6827383989391268,0.7803471018945503
0,7.0,100,200,11,0.5485680713464731,0.6336698611138459,0.6653127587489406
0,7.0,100,200,6,0.5079558391780312,0.5344605705125398,0.5191504608888161
0,7.0,100,200,7,0.6033080020273665,0.5417218370239408,0.4796278658272439
0,7.0,100,200,23,0.5426698234316312,0.5917449898187438,0.6334163306663393
0,7.0,100,200,0,0.5783941807975179,0.6629685076125225,0.5198034317929469
0,7.0,100,200,10,0.5839658417938187,0.49763190914040845,0.6294190871633324
0,7.0,100,200,16,0.47928334479160756,0.5687800649626428,0.5956281951816507
0,7.0,100,200,12,0.5132869822171455,0.5869665187765298,0.686808911140725
0,7.0,100,200,2,0.4975589673622901,0.6418777340452414,0.4353409668249342
0,7.0,100,200,13,0.4045798188868004,0.4038530662556925,0.6038351697573711
0,7.0,100,200,5,0.5505945449339821,0.5354948617532913,0.48814774653128257
0,7.0,100,200,1,0.5124532968521629,0.5335737958260822,0.569370815905243
