,rerun,bootstrap,subject,ism_repref_corr,sub_rep_ism_gsm_corr,sub_ref_ism_gsm_corr
0,6,0,15,,,0.003212797
0,6,0,18,,,0.005560922
0,6,0,17,,,0.003710854
0,6,0,3,,,0.005352372
0,7,0,20,,,0.005363976
0,7,0,19,,,0.009321409
0,7,0,9,,,0.002734412
0,7,0,14,,,0.004450292
0,7,0,21,,,0.004141164
0,7,0,8,,,0.002366225
0,7,0,4,,,0.004720861
0,7,0,11,,,0.000563587
0,7,0,6,,,0.003944138
0,7,0,7,,,0.004234955
0,7,0,23,,,0.00338504
0,7,0,0,,,2.24E-05
0,7,0,10,,,0.005162289
0,7,0,16,,,0.001017675
0,7,0,12,,,0.001297318
0,7,0,2,,,-0.000102617
0,7,0,13,,,0.0013904
0,7,0,5,,,0.006533629
0,7,0,1,,,0.004808077
0,7,0,22,,,0.002492183
0,7,0,15,,,0.003212797
0,7,0,18,,,0.005560922
0,7,0,17,,,0.003710854
0,7,0,3,,,0.005352372
0,8,0,20,,,0.005363976
0,8,0,19,,,0.009321409
0,8,0,9,,,0.002734412
0,8,0,14,,,0.004450292
0,8,0,21,,,0.004141164
0,8,0,8,,,0.002366225
0,8,0,4,,,0.004720861
0,8,0,11,,,0.000563587
0,8,0,6,,,0.003944138
0,8,0,7,,,0.004234955
0,8,0,23,,,0.00338504
0,8,0,0,,,2.24E-05
0,8,0,10,,,0.005162289
0,8,0,16,,,0.001017675
0,8,0,12,,,0.001297318
0,8,0,2,,,-0.000102617
0,8,0,13,,,0.0013904
0,8,0,5,,,0.006533629
0,8,0,1,,,0.004808077
0,8,0,22,,,0.002492183
0,8,0,15,,,0.003212797
0,8,0,18,,,0.005560922
0,8,0,17,,,0.003710854
0,8,0,3,,,0.005352372
0,9,0,20,,,0.005363976
0,9,0,19,,,0.009321409
0,9,0,9,,,0.002734412
0,9,0,14,,,0.004450292
0,9,0,21,,,0.004141164
0,9,0,8,,,0.002366225
0,9,0,4,,,0.004720861
0,9,0,11,,,0.000563587
0,9,0,6,,,0.003944138
0,9,0,7,,,0.004234955
0,9,0,23,,,0.00338504
0,9,0,0,,,2.24E-05
0,9,0,10,,,0.005162289
0,9,0,16,,,0.001017675
0,9,0,12,,,0.001297318
0,9,0,2,,,-0.000102617
0,9,0,13,,,0.0013904
0,9,0,5,,,0.006533629
0,9,0,1,,,0.004808077
0,9,0,22,,,0.002492183
0,9,0,15,,,0.003212797
0,9,0,18,,,0.005560922
