,bootstrap,ism_repref_corr,ref_rep_indgrp_label_ARI,rerun,scantime,sub_ref_ism_gsm_corr,sub_rep_ism_gsm_corr,subject
0,1,0.003638897925215656,-0.000346969254016595,1.0,halfmintest,,,5
0,1,0.07543916263408901,0.07044914084545234,1.0,halfmintest,,,6
0,1,0.040443277610575534,0.023430723078609647,1.0,halfmintest,,,0
0,1,0.03825717957607955,0.03468308363731883,1.0,halfmintest,,,8
0,1,0.010992164475600696,0.003135357435558022,1.0,halfmintest,,,12
0,1,0.004793026179688242,0.008933838432880696,1.0,halfmintest,,,16
0,1,0.03856638582823013,0.06114588686562945,1.0,halfmintest,,,13
0,1,0.0005296019598141077,0.034418565230578686,1.0,halfmintest,,,3
0,1,0.002507028943952272,0.0023789473160530377,1.0,halfmintest,,,10
0,1,0.019494543132083875,0.023877458164440847,1.0,halfmintest,,,25
0,1,0.0033225938739347427,0.003188985845355115,1.0,halfmintest,,,29
0,1,0.004954980956632382,0.004890912444631038,1.0,halfmintest,,,20
0,1,0.02650435032832843,0.007274947144096783,1.0,halfmintest,,,14
0,1,0.05034494632660802,0.034876192472425134,1.0,halfmintest,,,11
0,1,-0.0034298230016742703,0.004727892621163922,1.0,halfmintest,,,17
0,1,0.010309291194005699,0.010224497072182781,1.0,halfmintest,,,19
0,1,0.012236001391162321,0.013349966146523578,1.0,halfmintest,,,1
0,1,0.017237468829440994,0.016372335154559506,1.0,halfmintest,,,4
0,1,0.030152752076512246,0.02611749056549701,1.0,halfmintest,,,18
0,1,0.03500397097401864,0.052725734404101686,1.0,halfmintest,,,15
0,1,0.025533831527815853,0.027913427638822885,1.0,halfmintest,,,9
0,1,0.02342565054368917,0.016838543788287193,1.0,halfmintest,,,28
0,1,0.015878659939446482,0.011669138715282601,1.0,halfmintest,,,2
0,1,0.0300932317098197,0.025906889930691738,1.0,halfmintest,,,26
0,1,0.034719606535712044,0.031327741685240613,1.0,halfmintest,,,21
0,1,0.01574999618845585,0.025505107545042555,1.0,halfmintest,,,22
0,1,0.03269715567390841,0.04634985388546075,1.0,halfmintest,,,24
