,scantime,rerun,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,stdev_rep_ism_gsm_corr
0,halfmintest,1.0,1,0.2770540567990648,0.2774464435022632,0.003615004921644523,0.0034432288738036323
0,halfmintest,1.0,10,0.12579252085884074,0.12980076075273428,0.006881107399515044,0.008451151141338568
0,halfmintest,1.0,100,0.11891239863123589,0.12612366076451076,0.013003341188276977,0.014023176337274389
0,halfmintest,1.0,200,0.052870824442129934,0.24167891888866322,0.015087837261619134,0.012886942579999568
0,halfmintest,1.0,400,0.03821213774896131,0.2214471197950425,0.01800133878816264,0.01911411095990301
0,halfmintest,1.0,800,0.08518851303203816,0.2640072207521409,0.01823098652977462,0.017060087148697417
0,halfmintest,2.0,1,0.10773029370173512,0.10836241552545212,0.002315623278800701,0.0016051017619098465
0,halfmintest,2.0,10,0.048729258164723795,0.06047390487387516,0.004614694367726538,0.0028826716050190182
0,halfmintest,2.0,100,0.04956346592460631,0.17780592439101817,0.012118709477455551,0.010742819972817001
0,halfmintest,2.0,200,0.07134112841057497,0.2227383789602161,0.01407155061135164,0.011730974186276845
0,halfmintest,2.0,400,0.09143606542103079,0.2393914032754425,0.019055929068901713,0.02047197568242146
0,halfmintest,2.0,800,0.05898421233348339,0.2451681095713122,0.01926562705611006,0.020751905761696166
0,halfmintest,3.0,1,0.24638214356097887,0.2514225651768409,0.0028149393529844765,0.0022242556898239884
0,halfmintest,3.0,10,0.06206236534055993,0.05841969301901029,0.007415779251695868,0.00881742321646388
0,halfmintest,3.0,100,0.031987324597087856,0.22657158726048365,0.010448496844773454,0.007714292176957348
0,halfmintest,3.0,200,0.0776875281353207,0.19971198610077445,0.013081857152549548,0.009327884268260297
0,halfmintest,3.0,400,0.12458562171622072,0.340833822613164,0.017507002372597454,0.01844184228268073
0,halfmintest,3.0,800,0.09023755615353975,0.24104554550468849,0.018365706076589827,0.017552398374881147
