,rerun,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,stdev_rep_ism_gsm_corr,scantime
0,10,200,0.111575634,0.294099137,0.016915013,0.020636419,onemin
0,10,400,0.090981622,0.282805006,0.018686906,0.018062201,onemin
0,10,800,0.076293513,0.292221606,0.020225712,0.021863694,onemin
0,1,1,0.204809102,0.206625293,0.002824944,0.003290169,threemin
0,1,100,0.192253395,0.369298283,0.012839359,0.010751229,threemin
0,1,200,0.107281893,0.38375078,0.015567644,0.014330616,threemin
0,1,400,0.33129039,0.40910385,0.016644877,0.01409304,threemin
0,1,800,0.331255858,0.513856134,0.016256501,0.01199319,threemin
0,2,100,0.166594317,0.402223911,0.013452916,0.010345573,threemin
0,2,200,0.20125951,0.390283414,0.01687361,0.016509782,threemin
0,2,400,0.313188616,0.473260655,0.017915326,0.017739804,threemin
0,2,800,0.33002494,0.496787349,0.017195829,0.013362645,threemin
0,3,100,0.250146144,0.342688806,0.011325791,0.006821791,threemin
0,3,200,0.334869554,0.503147084,0.014852523,0.011237544,threemin
0,3,400,0.170018638,0.41891936,0.016862411,0.01423185,threemin
0,3,800,0.313551121,0.460488477,0.016776332,0.014498812,threemin
0,4,100,0.1354921,0.242137023,0.011032224,0.008695537,threemin
0,4,200,0.145685344,0.415459575,0.013862157,0.009591419,threemin
0,4,400,0.287949975,0.466055274,0.016686722,0.014145972,threemin
0,4,800,0.273925261,0.441550865,0.016852288,0.014227727,threemin
0,5,100,0.264179795,0.441554894,0.012839949,0.010865884,threemin
0,5,200,0.20247855,0.398582697,0.01632618,0.015539617,threemin
0,5,400,0.383467793,0.613406431,0.015243477,0.011772881,threemin
0,5,800,0.273627972,0.495887925,0.016934588,0.013909701,threemin
0,6,100,0.197909299,0.260893483,0.013142165,0.011120846,threemin
0,6,200,0.422594568,0.468526911,0.013087745,0.008172904,threemin
0,6,400,0.283547719,0.468687291,0.016694774,0.014794214,threemin
0,6,800,0.252939512,0.482817164,0.016806466,0.013926884,threemin
0,7,100,0.162392043,0.240787884,0.012768663,0.009614114,threemin
0,7,200,0.193611951,0.363284,0.016973056,0.017213922,threemin
0,7,400,0.261467712,0.409607226,0.015801069,0.011973235,threemin
0,7,800,0.068988672,0.437285475,0.017442164,0.014142208,threemin
0,8,100,0.410037045,0.570439145,0.01151272,0.009490568,threemin
0,8,200,0.087936569,0.36253925,0.013417556,0.008911052,threemin
0,8,400,0.372786627,0.557411643,0.014693448,0.012011382,threemin
0,8,800,0.330462074,0.559903972,0.016946875,0.013594372,threemin
0,9,100,0.376089256,0.280436694,0.014189409,0.014119402,threemin
0,9,200,0.168725115,0.400541051,0.01515722,0.012406321,threemin
0,9,400,0.238595701,0.391564249,0.016388449,0.014622031,threemin
0,9,800,0.326151966,0.513441246,0.0168136,0.013313007,threemin
0,10,100,0.402090643,0.435044866,0.010849896,0.00706492,threemin
0,10,200,0.232570711,0.425383301,0.015246116,0.01338608,threemin
0,10,400,0.26033231,0.491120573,0.015847253,0.012668453,threemin
0,10,800,0.149286099,0.478627695,0.018053378,0.015564446,threemin
0,1,100,0.375374893,0.491934213,0.008154706,0.006276499,fivemin
0,1,200,0.382279089,0.568223445,0.008207416,0.007789304,fivemin
0,1,400,0.388690099,0.562860594,0.009861722,0.009513925,fivemin
0,1,800,0.366316448,0.577345002,0.010139606,0.010190302,fivemin
0,2,1,0.180855752,0.181971335,0.003478098,0.005181409,fivemin
0,2,100,0.350631431,0.556398577,0.007616324,0.005722244,fivemin
0,2,200,0.397951901,0.643011263,0.007790504,0.005503913,fivemin
0,2,400,0.358608082,0.610675922,0.008687141,0.006414335,fivemin
0,2,800,0.348965578,0.644546357,0.009359214,0.00735479,fivemin
0,3,100,0.365367205,0.531687521,0.009030431,0.006023725,fivemin
0,3,200,0.346680792,0.576604036,0.010421311,0.007783533,fivemin
0,3,400,0.369506142,0.629656063,0.010222493,0.006916938,fivemin
0,3,800,0.478703213,0.624385069,0.011049911,0.008900651,fivemin
0,4,100,0.501201056,0.581300993,0.011364154,0.010860551,fivemin
0,4,200,0.385285846,0.630409115,0.008954052,0.006274064,fivemin
0,4,400,0.425704235,0.576151657,0.010634772,0.009795796,fivemin
0,4,800,0.388221481,0.625538874,0.010339496,0.009643274,fivemin
0,5,100,0.313378101,0.458107927,0.008738404,0.007889194,fivemin
0,5,200,0.370539826,0.619445608,0.009127681,0.007527539,fivemin
0,5,400,0.341284764,0.523577204,0.010479715,0.010403282,fivemin
0,5,800,0.35095735,0.631991498,0.01005341,0.009323227,fivemin
0,6,100,0.452331557,0.513887397,0.011218955,0.011038526,fivemin
0,6,200,0.376045834,0.587894565,0.010186817,0.009058862,fivemin
0,6,400,0.341049138,0.581091246,0.009797905,0.00863321,fivemin
0,6,800,0.36982297,0.651933096,0.009810024,0.008849209,fivemin
0,7,100,0.421678336,0.5014218,0.010009971,0.008881619,fivemin
0,7,200,0.31409647,0.578798258,0.009417201,0.006993752,fivemin
0,7,400,0.3769452,0.585505208,0.009887431,0.008598499,fivemin
0,7,800,0.346670132,0.61420476,0.011008041,0.010467796,fivemin
0,8,100,0.33677071,0.476437487,0.010406258,0.007515717,fivemin
0,8,200,0.364645341,0.568515956,0.010579377,0.008239339,fivemin
0,8,400,0.459180923,0.614603478,0.011380793,0.008611549,fivemin
0,8,800,0.391636029,0.656989545,0.011039947,0.008302904,fivemin
0,9,100,0.39844345,0.523084666,0.009142241,0.005547928,fivemin
0,9,200,0.478254929,0.597800837,0.010575931,0.008652228,fivemin
0,9,400,0.323515946,0.536836338,0.010893197,0.008343854,fivemin
0,9,800,0.358318062,0.595406667,0.012276033,0.009533898,fivemin
0,10,100,0.15688362,0.366134933,0.008258103,0.008512151,fivemin
0,10,200,0.370272366,0.547089442,0.009618297,0.008766578,fivemin
0,10,400,0.37131601,0.582093204,0.009736298,0.008578069,fivemin
0,10,800,0.39804817,0.595272311,0.010197884,0.009789076,fivemin
0,1,1,0.356692608,0.357830517,0.001714239,0.001461531,tenmin
0,1,100,0.489537796,0.72713136,0.005795147,0.002487965,tenmin
0,1,200,0.685423662,0.803634864,0.006524123,0.002459331,tenmin
0,1,400,0.728136208,0.839852349,0.006501421,0.002759542,tenmin
0,1,800,0.725738524,0.854717573,0.006467802,0.003348918,tenmin
0,2,100,0.595046001,0.731318721,0.00614714,0.003581034,tenmin
0,2,200,0.633911169,0.74606903,0.006357429,0.003431226,tenmin
0,2,400,0.638099529,0.802420906,0.006705716,0.003330307,tenmin
0,2,800,0.792047506,0.877358615,0.006117462,0.002617932,tenmin
0,3,100,0.655692918,0.767943336,0.005664483,0.002275535,tenmin
0,3,200,0.649541269,0.800668831,0.005891534,0.002240881,tenmin
0,3,400,0.721212965,0.861279814,0.006451897,0.003261643,tenmin
0,3,800,0.713948676,0.850871576,0.00635102,0.00280614,tenmin
0,4,100,0.495972903,0.563894806,0.004761126,0.003167277,tenmin
0,4,200,0.458926215,0.746877742,0.003586391,0.00151942,tenmin
0,4,400,0.700403537,0.821274574,0.003988907,0.001525455,tenmin
0,4,800,0.711114603,0.83975939,0.004229669,0.001735922,tenmin
0,5,100,0.723733652,0.775596443,0.005726676,0.002219434,tenmin
